CODIGO,NUMHORASDISC,NOTA,NOTAVS,FREQUENCIA,CODSITDISCIPLINA,IDCARACTERISTICADISCIPLINA,DESCRICAO,ANOSEMESTRE
TCC00219,34,093,,S,,101,Comum,20111
GMA00108,68,049,062,S,,101,Comum,20111
TCC00220,68,081,,S,,101,Comum,20111
GAN00167,60,040,035,S,,101,Comum,20111
TCC00173,102,056,070,S,,101,Comum,20111
TCC00165,68,075,,S,,101,Comum,20112
TCC00218,68,070,,S,,101,Comum,20112
GAN00170,68,060,,S,,101,Comum,20112
STA00141,60,100,,S,,101,Comum,20112
TCC00224,68,065,,S,,101,Comum,20121
STA00191,60,099,,S,,101,Comum,20121
TCC00280,60,095,,S,,101,Comum,20121
TCC00171,68,060,,S,,101,Comum,20121
GET00122,68,070,,S,,101,Comum,20121
TCC00226,68,098,,S,,101,Comum,20131
TCC00221,68,097,,S,,101,Comum,20122
TCC00166,68,073,,S,,101,Comum,20122
SDV00066,68,100,,S,,101,Comum,20122
TCC00215,68,089,,S,,101,Comum,20122
TCC00167,68,072,,S,,101,Comum,20122
TCC00225,68,051,060,S,,101,Comum,20131
STA00145,60,077,,S,,101,Comum,20131
GAN00166,60,066,,S,,101,Comum,20131
TCC00227,68,073,,S,,101,Comum,20131
GCI00141,60,082,,S,,101,Comum,20131
TCC00230,68,084,,S,,101,Comum,20132
TCC00184,68,071,,S,,101,Comum,20132
TCC00222,68,087,,S,,101,Comum,20132
GCI00126,60,079,,S,,101,Comum,20132
TCC00228,68,083,,S,,101,Comum,20132
TCC00202,68,086,,S,,101,Comum,20141
TCC00240,68,092,,S,,101,Comum,20141
TCC00211,68,100,,S,,101,Comum,20141
TCC00223,68,064,,S,,101,Comum,20141
TCC00232,68,078,,S,,101,Comum,20141
TCC00191,68,100,,S,,101,Comum,20141
TCC00253,68,100,,S,,101,Comum,20142
TCC00327,68,068,,S,,101,Comum,20142
TCC00324,68,089,,S,,101,Comum,20142
TCC00246,68,090,,S,,101,Comum,20142
TCC00192,68,100,,S,,101,Comum,20142
TCC00212,68,095,,S,,101,Comum,20151
GSI00433,68,091,,S,,101,Comum,20151
CGI00001,272,,,S,V,103,Atividade Complementar,20151
